,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
break,5.717454695657766e-06,3.7523684220129125e-06,0.0,0.0,7.122620523363509e-06,0.0,8.774435393842127e-06,0.0,7.509074845050766e-06,6.149329066143284e-06,0.0,0.0,2.3359846829317408e-05,0.0,6.690579341984796e-06,6.470847765997953e-06,9.722023950681468e-06,0.0,6.967327462678137e-06,1.5686270532378616e-05
least,4.821570594411374e-06,6.328675225998869e-06,0.0,0.0,9.009669030782368e-06,9.133910059405209e-06,7.399544365369809e-06,0.0,1.0553820380327174e-05,1.0371215745997057e-05,7.231604904221395e-06,1.4036572004820973e-05,0.0,0.0,8.463173472339651e-06,2.1825450899571338e-05,1.0248186490862123e-05,0.0,0.0,8.81913566998732e-06
unreasonable,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.344252749467355e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.596231840014161e-06,0.0,1.890814854270337e-05,0.0
prices,1.1434570126832576e-05,3.7523684220129125e-06,0.0,0.0,7.122620523363509e-06,0.0,3.5092948038848335e-05,0.0,1.7520264356918993e-05,1.8446809892750333e-05,0.0,8.32269579193468e-06,0.0,0.0,3.345347746910866e-06,0.0,1.7012898182022538e-05,1.558393659289945e-05,1.3934151123500487e-05,1.045779744601409e-05
watching,6.691336158919883e-06,0.0,5.706911193039581e-05,5.878991334889159e-05,8.335850617311111e-06,0.0,1.0269027032170935e-05,0.0,8.788131555967383e-06,3.5984442966777546e-06,1.0035962024226343e-05,4.870275402939424e-06,0.0,0.0,0.0,7.573058282100956e-06,0.0,0.0,0.0,6.1197281634862645e-06
areas,4.9949541822938404e-06,9.833907258552067e-06,7.101574958310056e-06,0.0,2.021978606777224e-05,4.731323021182278e-06,3.065366769925452e-05,0.0,2.404874216365736e-05,2.4169688962807217e-05,1.8726355766371075e-05,7.270879156129638e-06,0.0,2.8215074055974484e-05,1.6072011540234037e-05,1.41313783990805e-05,1.6984885398354614e-05,4.082860519759579e-05,0.0,1.5986780843598987e-05
needing,6.691336158919883e-06,4.39152732121746e-06,0.0,0.0,8.335850617311111e-06,0.0,0.0,1.539477799495617e-05,2.929453288517436e-06,7.196773760993973e-06,1.0035962024226343e-05,4.870275402939424e-06,0.0,0.0,3.915176863590445e-06,0.0,0.0,0.0,1.6307621873653746e-05,1.2239124211394141e-05
abolished,1.8185199328510074e-05,1.1936050572955138e-05,2.0683517039220535e-05,2.3969482067788256e-05,1.2461248281451372e-05,0.0,1.1164804745204675e-05,4.184991622187844e-06,1.1943181478573833e-05,2.2491135108504407e-05,8.18394640800174e-06,1.588374044820798e-05,0.0,0.0,1.0641545355650962e-05,8.233959109101061e-06,1.4689243271200828e-05,3.964173987880273e-05,8.865646074552321e-06,3.3271432887426126e-06
prohibit,1.0328665002141954e-05,7.90940114888761e-06,3.2645572436478994e-06,5.044064399847922e-06,4.290409309276425e-06,3.262355552665165e-06,0.0,6.602412936081794e-06,1.0053272344020288e-06,4.938654505231022e-06,1.2907960953872104e-05,5.0131352532477125e-06,2.3456213715958044e-06,4.324288953324172e-06,1.67945756862132e-06,1.2994647836521803e-06,4.6361348906766265e-06,1.564822534710387e-06,6.2946423834768244e-06,2.625021125791473e-06
flag,3.994304483023418e-05,3.1132827096385344e-05,7.101574958310056e-06,0.0,3.1113686633991134e-06,1.8922101652014893e-05,0.0,5.742596591637046e-05,2.1868172035724937e-06,4.0275107274928574e-05,0.00011596931923924852,7.991066917706978e-05,0.00016297206768333867,0.0,1.4613455979816887e-06,1.9782601487872094e-05,1.0616356602189155e-05,0.0,1.5215460160142764e-05,4.568271348301187e-06
stolen,1.3382275264811262e-05,4.39152732121746e-06,0.0,0.0,4.1680023383855825e-06,0.0,1.0269027032170935e-05,1.539477799495617e-05,0.0,0.0,0.0,4.870275402939424e-06,0.0,0.0,3.915176863590445e-06,7.573058282100956e-06,5.689154958261195e-06,1.8238423209820677e-05,0.0,6.1197281634862645e-06
think,1.0902156528422729e-05,6.779882519856843e-06,9.790368823125965e-06,5.044064399847922e-06,3.5754732093547666e-06,4.349562981998436e-06,8.810632763932447e-07,5.282290767183917e-06,2.5131222345572817e-06,4.630062447671625e-06,6.886388972851704e-06,6.266013280478489e-06,2.3456213715958044e-06,5.405059249902293e-06,4.030208473094085e-06,3.2483347515844157e-06,3.4163147758649203e-06,0.0,9.090947135873522e-06,4.199691986185702e-06
please,8.937358199851363e-06,1.1730957022767042e-05,2.5412619930445974e-05,0.0,0.0,1.693079555046853e-05,0.0,0.0,3.91275714556823e-06,4.806302489936878e-06,2.6808097553966625e-05,1.3009794994511703e-05,0.0,0.0,0.0,0.0,3.799439742388524e-06,0.0,0.0,0.0
two,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discovery,2.6950314982967292e-05,0.0,3.831660412022371e-05,0.0,8.393862302668747e-06,2.552789095824497e-05,0.0,0.0,5.8995714324478695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2324406601452229e-05
responsibilities,1.0255653796140615e-05,6.73079079768862e-06,0.0,4.505883219234431e-05,6.388199305605811e-06,0.0,0.0,0.0,4.4899042620883764e-06,0.0,1.5381883317052502e-05,7.464556739960373e-06,0.0,0.0,0.0,2.321331768361405e-05,0.0,0.0,0.0,0.0
non,1.7151346333763462e-05,1.125666687392266e-05,0.0,0.0,3.5613760802239982e-06,1.0831059285825403e-05,0.0,0.0,7.509074845050766e-06,9.223846426615637e-06,1.714981987005143e-05,4.161437762256645e-06,0.0,0.0,3.345347746910866e-06,1.2941260969819392e-05,9.722023950681468e-06,0.0,6.967327462678137e-06,0.0
speed,1.2878467724361536e-05,6.3394260282308485e-06,9.155522486067955e-06,1.4146839836344586e-05,1.0027573698390024e-05,0.0,4.941505753147417e-06,7.408042046454795e-06,7.047969652178008e-06,3.4631225365986676e-06,4.82935373777074e-06,2.3436002113580687e-06,0.0,0.0,5.651810211338722e-06,0.0,2.7376490361474484e-06,0.0,3.92379534357826e-06,2.9448429566722635e-06
household,8.937358199851363e-06,0.0,0.0,0.0,5.567039077286933e-06,1.693079555046853e-05,1.3715941146989545e-05,0.0,3.91275714556823e-06,0.0,1.3404645254752044e-05,6.505037973614715e-06,0.0,0.0,1.5687505004583135e-05,0.0,3.799439742388524e-06,0.0,0.0,0.0
unresearched,1.8013756400817058e-05,1.182243747932007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.687377444914686e-06,0.0,0.0,0.0,0.0,1.0540053677144466e-05,0.0,0.0,0.0,0.0,0.0
opposing,2.1233659905010653e-05,1.3935661785275808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418966342159458e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
present,8.937358199851363e-06,0.0,2.5412619930445974e-05,0.0,1.6700499933267082e-05,0.0,0.0,0.0,3.91275714556823e-06,4.806302489936878e-06,0.0,0.0,0.0,1.6832399197242168e-05,0.0,0.0,3.799439742388524e-06,0.0,1.0891122806256398e-05,1.6347323543726995e-05
general,1.4983084490949748e-05,6.556193469221893e-06,0.0,1.0973141475419468e-05,7.777990428996101e-06,1.4192373727666526e-05,7.665510246226098e-06,2.2979789754930775e-05,9.839782747086421e-06,1.2086579480161266e-05,0.0,1.0905847754539614e-05,0.0,9.407126523417951e-06,1.0228353800195627e-05,1.130548227617973e-05,7.431730793956152e-06,6.80751863847001e-06,0.0,1.3703326762226561e-05
abandon,1.885969715670271e-05,6.964429537459538e-06,4.3546403187061895e-05,4.141126928382072e-05,5.8756627271353715e-06,2.2339638780489625e-06,0.0,2.7131170301206743e-06,7.226639364469351e-06,4.438807861642124e-06,1.5912633165414294e-05,8.581520043640386e-06,9.635018688742511e-06,8.882434232694924e-06,6.20910039615918e-06,9.340646778900476e-06,2.005219411528145e-06,0.0,1.0057158121879689e-05,1.0782542671616604e-05
headlines,1.7874186071371312e-05,5.865592727968652e-06,0.0,0.0,5.567039077286933e-06,0.0,0.0,0.0,0.0,4.806302489936878e-06,0.0,6.505037973614715e-06,0.0,1.6832399197242168e-05,5.2293498958400435e-06,0.0,3.799439742388524e-06,0.0,0.0,1.6347323543726995e-05
equal,6.4396159445387345e-06,6.3394260282308485e-06,0.0,0.0,1.2032866079392877e-05,6.099736264643123e-06,4.941505753147417e-06,3.7030100314544516e-05,1.2685686305902394e-05,3.4631225365986676e-06,4.82935373777074e-06,2.1088758711882975e-05,3.94571855115756e-05,0.0,1.8840021489291768e-06,0.0,3.010654517262009e-05,0.0,2.3538516984690792e-05,5.889526097712903e-06
creating,1.722210115762668e-06,1.5070512219508607e-06,3.2645572436478994e-06,0.0,1.787901781021092e-06,2.175025930867636e-06,2.642949149000865e-06,2.6415059003007397e-06,3.2669316213234694e-06,1.8522908920745034e-06,1.7220568396760537e-06,3.7600949536330318e-06,2.3456213715958044e-06,6.4857088237417365e-06,2.351158971359642e-06,1.2994647836521803e-06,2.4403479343775537e-06,6.257772080893532e-06,2.7981244735190653e-06,2.625021125791473e-06
president,4.821570594411374e-06,3.1643992311326623e-06,0.0,0.0,6.00655702557334e-06,9.133910059405209e-06,7.399544365369809e-06,0.0,4.221692656444318e-06,5.185773351766732e-06,0.0,3.509370342752032e-06,0.0,9.080826703820173e-06,2.8211557735360615e-06,0.0,4.099429710646866e-06,0.0,5.875597272541037e-06,4.409687491118287e-06
punishment,5.456692687142377e-06,1.1938142306388238e-06,5.1721878278597615e-06,0.0,1.0195943540433647e-05,4.476646576245798e-05,5.582910695531082e-06,1.2553261149748363e-05,7.1664672769117405e-06,4.1058329449771905e-05,2.7282249218366967e-06,4.366049666383701e-05,0.0,1.3701182969910215e-05,2.5533505090799204e-05,1.85232986334187e-05,4.481881213827543e-05,0.0,6.649474936036015e-06,2.6607039994512416e-05
part,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychological,8.937358199851363e-06,1.7596092902153512e-05,0.0,0.0,1.1133872383327905e-05,0.0,0.0,0.0,2.7387165556868335e-05,2.4029978776215513e-05,0.0,2.6018466275387167e-05,0.0,0.0,2.614493395340975e-05,3.034308293943411e-05,3.799439742388524e-06,0.0,0.0,0.0
uncomfortable,1.7151346333763462e-05,1.125666687392266e-05,1.6257097444378013e-05,2.5119981311764057e-05,0.0,0.0,8.774435393842127e-06,1.315416587142127e-05,7.509074845050766e-06,0.0,0.0,0.0,2.3359846829317408e-05,0.0,3.345347746910866e-06,0.0,2.4305979586170416e-06,1.558393659289945e-05,6.967327462678137e-06,0.0
pages,2.3499730915572953e-05,7.711671469526653e-06,0.0,0.0,1.4638037447512223e-05,0.0,0.0,0.0,5.144219697148111e-06,0.0,0.0,0.0,0.0,0.0,1.375012899146794e-05,2.6596203191348466e-05,0.0,0.0,0.0,2.1492318751380336e-05
youre,1.5516205209352886e-05,1.0183293363262897e-05,0.0,0.0,9.664972444889495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890814854270337e-05,1.4190731978624252e-05
movies,3.374498716128845e-05,1.5820763888959108e-05,1.3709726995794853e-05,0.00012702039613686093,2.4023564309340976e-05,0.0,1.4798414911646088e-05,0.0,2.110873747508354e-06,0.0,7.231604904221395e-06,0.0,0.0,1.8160638620035257e-05,2.8211557735360615e-06,5.45691237975938e-06,0.0,0.0,5.875597272541037e-06,8.81913566998732e-06
prison,1.8190054949475106e-06,3.5813032176730304e-06,0.0,0.0,3.3990246857833874e-06,1.3781261821020907e-05,8.373984777958186e-06,4.184991622187844e-06,7.1664672769117405e-06,9.780782179052125e-06,2.7282249218366967e-06,1.3237021879102173e-05,7.4319241700212675e-06,3.425869921320014e-06,6.385370523890541e-06,4.117256028898543e-06,1.4689243271200828e-05,0.0,2.2166519219357256e-06,6.6539254809695665e-06
trial,6.691336158919883e-06,4.39152732121746e-06,0.0,0.0,8.335850617311111e-06,0.0,0.0,1.539477799495617e-05,0.0,1.0794988400277404e-05,0.0,1.4610195185166702e-05,0.0,0.0,1.1745122790552303e-05,7.573058282100956e-06,2.844290481452388e-05,0.0,8.154105745247228e-06,1.8358188179719206e-05
scientists,2.286778335674645e-05,3.7523684220129125e-06,1.6257097444378013e-05,0.0,2.1366282119400268e-05,0.0,1.754807176793231e-05,1.315416587142127e-05,1.251479962993195e-05,3.074713592692104e-06,0.0,0.0,0.0,0.0,6.690579341984796e-06,0.0,4.861134601207322e-06,0.0,6.967327462678137e-06,1.045779744601409e-05
procedures,7.98398605943824e-06,7.859768264155459e-06,1.1351230341249152e-05,0.0,0.0,0.0,0.0,0.0,1.0485748416995113e-05,2.146864306093425e-06,5.987545414281596e-06,5.811174923298865e-06,1.6310599293822804e-05,2.2553411327448047e-05,7.007246134948076e-06,9.03600625371398e-06,5.09123748362621e-06,1.0881207699877396e-05,0.0,7.3019718358694236e-06
obligatory,8.937358199851363e-06,5.865592727968652e-06,2.5412619930445974e-05,0.0,0.0,0.0,0.0,0.0,1.1737966492446552e-05,1.4418447348203951e-05,0.0,6.505037973614715e-06,0.0,0.0,1.0458518226520846e-05,1.0115040244280999e-05,1.1398031689734451e-05,0.0,0.0,0.0
stimulated,2.57718590054935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.024577158919667e-05,0.0,0.0
pledge,2.1233659905010653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1847182592665185e-05,0.0,0.0,0.0,0.0,0.0,9.026829798631203e-06,0.0,0.0,0.0
economy,5.741041036465359e-07,3.7678481494700376e-07,4.896422862723493e-06,2.522360931965183e-06,7.864297528624235e-06,4.349562981998436e-06,2.551831428048619e-05,1.3208431039367171e-06,5.276802886421494e-06,8.024033820754313e-06,1.7220568396760537e-06,1.6713337347872212e-06,0.0,1.0812534573711167e-06,2.0153140995184147e-06,2.5987550488015985e-06,2.6843488751274266e-06,1.564822534710387e-06,6.99606993092675e-07,2.100073878057806e-06
cruel,3.63790305306096e-06,8.355723396185404e-06,5.1721878278597615e-06,7.991910119336903e-06,1.1330501078429267e-06,0.0,0.0,4.184991622187844e-06,3.981577556233586e-06,3.912687383053426e-06,0.0,1.7207014038999665e-05,1.486204687979023e-05,3.425869921320014e-06,9.577557049978644e-06,1.85232986334187e-05,1.3916300672935656e-05,0.0001237106009180024,4.4331435595503996e-06,3.3271432887426126e-06
hurting,7.98398605943824e-06,1.0479486968428878e-05,1.1351230341249152e-05,1.7539582020301853e-05,4.9732436230163135e-06,0.0,1.2252630296649602e-05,9.18466333023902e-06,8.738237176714681e-06,1.2880158273656327e-05,0.0,2.9056502091942082e-06,0.0,0.0,7.007246134948076e-06,0.0,6.788231024935497e-06,0.0,4.864812993977621e-06,3.651084989508697e-06
weakens,1.3475557300334211e-05,8.844015103644362e-06,0.0,0.0,0.0,0.0,0.0,3.1003256759176665e-05,0.0,7.246839967425782e-06,2.0211237054823247e-05,9.808156951318443e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keeping,7.98398605943824e-06,5.23994753996961e-06,0.0,0.0,1.4918628045580047e-05,2.2685235911411456e-05,0.0,0.0,8.738237176714681e-06,2.790389344767036e-05,1.1974557962879539e-05,1.7432019045791093e-05,0.0,0.0,1.1678338100289359e-05,2.7104378472130297e-05,1.6969293415015567e-05,2.176065568313034e-05,9.72927421723289e-06,1.0952660560557465e-05
home,5.895578307769668e-06,1.3926419172736489e-05,1.675991130484914e-05,0.0,8.812842743012005e-06,4.4676766501661525e-06,9.047223309578572e-06,8.138240093089918e-06,2.2703451405518778e-05,6.9748244113101354e-06,1.5912633165414294e-05,9.43946826422792e-06,1.4450776777558582e-05,1.9979896773978562e-05,3.0337176416948986e-05,1.867690518705977e-05,1.3030310843699424e-05,0.0,1.292969725036214e-05,8.62650212960317e-06
